mRNA(1365),index
slc11a1,872
slc9a3,873
slc6a13,874
slc6a2,875
slc5a5,876
slc1a6,877
st6gal1,878
shbg,879
sgk1,880
sfrp4,881
sell,882
cxcl6,883
ccl24,884
ccl21,885
ccl8,886
ccl4,887
sctr,888
sat1,889
s100a10,890
sort1,891
rps20,892
rps14,893
rps2,894
robo2,895
rnf6,896
brd2,897
rgs2,898
rgs1,899
trim27,900
rfc1,901
ren,902
rel,903
recql,904
rbp4,905
rad51d,906
mok,907
rad51c,908
nectin2,909
pvr,910
ptprr,911
ptprc,912
ptpn3,913
ptgs1,914
pth,915
ptgis,916
ptch1,917
psmb4,918
psma6,919
psg5,920
htra1,921
prox1,922
prl,923
map2k7,924
prkcz,925
prkcq,926
prkar2b,927
prkacb,928
prkaca,929
prf1,930
ppp1r3a,931
ppp1r1a,932
pparg,933
pou4f1,934
pou3f1,935
pon1,936
pole,937
pms2,938
pml,939
pln,940
fxyd3,941
plek,942
plg,943
plau,944
plat,945
plagl1,946
pla2g2a,947
pklr,948
pfkm,949
pfkfb3,950
pepd,951
peg3,952
pecam1,953
pdyn,954
pdpk1,955
enpp1,956
pdk2,957
pcnt,958
pcm1,959
pck2,960
pax9,961
pawr,962
pam,963
pebp1,964
oxtr,965
oxt,966
slc22a18,967
tnfrsf11b,968
olr1,969
ogg1,970
oas2,971
nup98,972
ntrk1,973
ntf3,974
npr1,975
nppb,976
nppa,977
npm1,978
npc1,979
npy,980
nos2,981
nme1,982
nfkbil1,983
nfkbie,984
nfe2l2,985
nfatc2,986
nefl,987
nell1,988
ndufv2,989
ndufv1,990
ncf2,991
nbn,992
myo9b,993
mylk,994
myh11,995
myh7,996
myh6,997
mybl1,998
mutyh,999
mtnr1b,1000
atp6,1001
mst1r,1002
msr1,1003
msmb,1004
msh5,1005
msh3,1006
msh2,1007
mpo,1008
mmp12,1009
mmp1,1010
kmt2a,1011
mlf1,1012
ciita,1013
mfge8,1014
rab8a,1015
mefv,1016
mdm4,1017
mdk,1018
map2,1019
maob,1020
epcam,1021
lyl1,1022
ltbp1,1023
lta,1024
lta4h,1025
lsamp,1026
lrp1,1027
lpa,1028
lmo2,1029
lmo1,1030
lipc,1031
lig4,1032
lgals2,1033
lep,1034
aff3,1035
kpna3,1036
klk1,1037
kif5a,1038
kcnmb1,1039
jag2,1040
itih1,1041
itga1,1042
irak1,1043
pdx1,1044
insrr,1045
inppl1,1046
ins,1047
inhba,1048
incenp,1049
il13ra1,1050
il12a,1051
il6st,1052
il2rb,1053
il2ra,1054
il1rn,1055
il1b,1056
ccn1,1057
ifna2,1058
ifna1,1059
idh2,1060
irf8,1061
htr3a,1062
htr2b,1063
htr2a,1064
hspb1,1065
hspa1l,1066
hspa1a,1067
hsd11b2,1068
hsd11b1,1069
hpx,1070
hp,1071
hoxd13,1072
hoxd11,1073
nr4a1,1074
hlf,1075
hla-drb5,1076
hla-drb1,1077
hla-dqb1,1078
hla-dqa2,1079
hla-dpb2,1080
hla-dpb1,1081
hla-doa,1082
hla-c,1083
hla-b,1084
hla-a,1085
hhex,1086
nrg1,1087
hdac2,1088
hcls1,1089
hba1,1090
h3-3a,1091
h2ax,1092
h1-2,1093
h1-0,1094
gucy2f,1095
gucy1a1,1096
gtf2i,1097
msh6,1098
gstt1,1099
gstm1,1100
cxcl3,1101
grm7,1102
grm5,1103
grm4,1104
grik4,1105
grik2,1106
gria2,1107
grb14,1108
gpx4,1109
grk6,1110
lpar4,1111
gp2,1112
gnb3,1113
gnas,1114
glp1r,1115
gclm,1116
gclc,1117
gla,1118
ggt1,1119
gfi1,1120
gfap,1121
mstn,1122
gckr,1123
gck,1124
gcgr,1125
gcg,1126
gc,1127
gatm,1128
gata2,1129
gart,1130
galr1,1131
gad2,1132
gad1,1133
ifi6,1134
fth1,1135
fpgs,1136
folr1,1137
flt1,1138
foxe1,1139
fkbp5,1140
fkbp4,1141
fhl2,1142
fhl1,1143
fgf1,1144
fcgr3b,1145
fcgr2a,1146
fat1,1147
fancf,1148
fancb,1149
acsl1,1150
fance,1151
fancd2,1152
fancc,1153
fanca,1154
f13a1,1155
f7,1156
f5,1157
f2,1158
ext2,1159
ext1,1160
esr2,1161
esd,1162
ern1,1163
ercc5,1164
ercc3,1165
ercc2,1166
ephx2,1167
ephx1,1168
ephb6,1169
ep300,1170
eno2,1171
eno1,1172
emp1,1173
