x,y,index
81,27,1
81,157,1
81,92,1
83,339,1
83,52,1
83,7,1
83,40,1
83,340,1
83,341,1
83,122,1
83,342,1
83,62,1
83,343,1
83,16,1
86,268,1
86,7,1
86,256,1
86,121,1
86,178,1
86,62,1
87,9,1
87,356,1
87,78,1
87,87,1
87,36,1
87,186,1
87,37,1
87,326,1
87,357,1
87,163,1
87,31,1
87,38,1
87,44,1
89,311,1
89,287,1
89,63,1
89,312,1
89,38,1
91,18,1
92,55,1
92,37,1
96,75,1
96,11,1
96,376,1
96,377,1
96,35,1
96,41,1
96,33,1
96,110,1
96,193,1
96,52,1
96,359,1
96,51,1
96,78,1
96,378,1
96,87,1
99,4,1
99,19,1
99,111,1
99,384,1
99,385,1
99,386,1
99,107,1
99,58,1
99,71,1
99,387,1
99,35,1
99,115,1
99,75,1
99,350,1
99,27,1
99,214,1
99,341,1
99,173,1
99,388,1
99,389,1
104,81,1
104,82,1
104,83,1
104,84,1
104,38,1
104,85,1
104,86,1
104,87,1
107,121,1
107,122,1
107,123,1
107,124,1
107,89,1
107,125,1
107,126,1
107,127,1
107,128,1
107,129,1
107,130,1
107,23,1
107,11,1
107,131,1
108,120,1
108,180,1
108,41,1
108,40,1
108,181,1
108,58,1
108,172,1
108,45,1
108,167,1
112,379,1
112,111,1
112,35,1
112,88,1
112,50,1
112,380,1
112,167,1
112,55,1
112,271,1
112,192,1
112,374,1
112,4,1
112,180,1
112,117,1
112,170,1
112,381,1
112,261,1
112,382,1
112,89,1
117,15,1
117,93,1
117,61,1
117,47,1
117,102,1
117,3,1
117,263,1
117,137,1
117,360,1
117,37,1
117,120,1
117,253,1
117,57,1
119,64,1
119,65,1
119,66,1
119,67,1
119,68,1
119,69,1
121,56,1
121,11,1
122,53,1
122,54,1
122,55,1
122,56,1
124,65,1
124,122,1
124,81,1
124,147,1
124,256,1
124,49,1
124,257,1
124,226,1
124,179,1
124,258,1
124,18,1
124,183,1
124,259,1
124,62,1
128,45,1
128,35,1
128,94,1
128,119,1
128,28,1
128,17,1
128,120,1
130,404,1
130,45,1
130,223,1
130,41,1
130,287,1
130,37,1
133,41,1
133,32,1
133,88,1
133,89,1
138,27,1
138,405,1
138,406,1
138,221,1
138,187,1
138,85,1
138,287,1
138,63,1
138,327,1
138,86,1
138,407,1
138,408,1
138,134,1
138,176,1
138,364,1
138,88,1
140,123,1
140,93,1
140,167,1
140,116,1
140,233,1
140,141,1
140,176,1
140,375,1
140,80,1
140,202,1
140,287,1
140,187,1
140,327,1
140,62,1
140,63,1
143,169,1
143,116,1
143,361,1
143,362,1
143,27,1
143,179,1
143,326,1
143,28,1
143,156,1
143,10,1
143,63,1
143,327,1
143,99,1
143,56,1
143,80,1
143,134,1
143,202,1
143,270,1
143,88,1
143,363,1
143,176,1
143,364,1
143,119,1
143,180,1
143,60,1
153,409,1
153,389,1
153,90,1
153,208,1
153,145,1
153,410,1
153,62,1
153,196,1
153,132,1
153,411,1
153,93,1
153,61,1
153,290,1
153,327,1
153,315,1
153,378,1
153,83,1
153,50,1
153,162,1
153,412,1
153,321,1
153,397,1
153,154,1
153,114,1
153,264,1
159,13,1
159,45,1
159,413,1
159,303,1
159,77,1
159,144,1
159,264,1
161,154,1
168,167,1
168,232,1
168,31,1
168,233,1
168,234,1
168,86,1
168,62,1
168,172,1
168,235,1
168,98,1
168,236,1
168,237,1
168,60,1
170,5,1
170,100,1
170,62,1
170,286,1
170,19,1
170,119,1
170,287,1
173,253,1
173,251,1
173,90,1
173,37,1
173,254,1
173,181,1
173,101,1
175,100,1
175,23,1
175,228,1
176,224,1
176,190,1
179,143,1
