x,y,index
241,23,1
242,6,1
243,48,1
243,29,1
244,6,1
245,16,1
246,16,1
247,16,1
248,23,1
249,16,1
249,5,1
249,38,1
249,25,1
249,57,1
249,6,1
25,38,1
25,25,1
250,16,1
251,6,1
252,29,1
253,43,1
253,17,1
254,14,1
255,57,1
256,9,1
257,6,1
258,48,1
258,29,1
259,52,1
259,57,1
26,15,1
260,15,1
261,22,1
261,25,1
261,6,1
262,14,1
263,42,1
264,22,1
265,23,1
266,16,1
267,53,1
268,15,1
269,14,1
27,16,1
27,5,1
270,23,1
271,48,1
271,29,1
272,15,1
273,42,1
274,6,1
275,16,1
276,16,1
276,38,1
276,25,1
277,16,1
277,38,1
278,25,1
278,17,1
279,16,1
279,41,1
279,25,1
28,3,1
28,53,1
28,48,1
28,29,1
280,25,1
281,3,1
282,14,1
283,29,1
284,15,1
284,57,1
285,16,1
286,29,1
287,48,1
287,29,1
288,36,1
289,48,1
289,29,1
289,6,1
29,57,1
290,40,1
290,57,1
290,6,1
291,16,1
292,42,1
293,43,1
294,38,1
295,48,1
295,29,1
296,17,1
297,17,1
298,0,1
299,38,1
3,22,1
3,48,1
3,29,1
30,19,1
300,17,1
301,15,1
302,16,1
303,22,1
303,16,1
303,29,1
304,6,1
305,6,1
306,22,1
306,16,1
306,27,1
306,23,1
307,22,1
308,3,1
308,23,1
309,29,1
31,14,1
31,22,1
31,43,1
31,48,1
31,29,1
310,16,1
311,17,1
312,3,1
313,42,1
314,5,1
315,1,1
316,17,1
317,42,1
317,17,1
318,48,1
318,29,1
319,17,1
32,14,1
320,48,1
320,29,1
321,48,1
321,29,1
322,29,1
323,6,1
324,42,1
325,6,1
326,16,1
327,16,1
327,25,1
327,57,1
327,6,1
328,48,1
328,29,1
329,52,1
33,22,1
33,23,1
330,45,1
331,17,1
332,47,1
333,16,1
333,29,1
333,23,1
334,22,1
334,16,1
335,17,1
336,38,1
337,43,1
338,17,1
339,6,1
34,48,1
34,29,1
340,16,1
341,48,1
341,29,1
342,43,1
342,23,1
343,17,1
344,17,1
345,23,1
346,6,1
347,53,1
347,29,1
348,42,1
349,25,1
35,14,1
35,16,1
35,29,1
350,38,1
350,17,1
351,27,1
352,17,1
353,38,1
354,14,1
355,17,1
355,6,1
356,48,1
356,29,1
357,16,1
358,38,1
359,16,1
359,27,1
36,43,1
36,6,1
360,25,1
361,6,1
362,23,1
363,27,1
364,40,1
364,42,1
364,8,1
364,29,1
365,6,1
366,14,1
366,22,1
367,25,1
369,16,1
37,42,1
37,38,1
37,48,1
37,29,1
370,16,1
371,48,1
371,29,1
372,25,1
373,16,1
374,6,1
375,17,1
376,17,1
377,6,1
378,14,1
378,15,1
378,22,1
378,16,1
378,48,1
378,29,1
378,23,1
379,5,1
38,22,1
38,52,1
38,23,1
380,29,1
381,15,1
382,40,1
382,42,1
382,8,1
382,23,1
383,22,1
383,17,1
384,17,1
385,16,1
386,22,1
386,8,1
386,23,1
387,5,1
388,15,1
389,48,1
389,29,1
39,22,1
390,22,1
390,29,1
390,23,1
391,16,1
392,16,1
393,47,1
394,25,1
395,57,1
395,6,1
396,29,1
397,22,1
398,41,1
399,16,1
4,15,1
40,3,1
400,6,1
401,15,1
402,15,1
402,38,1
403,53,1
404,43,1
404,29,1
405,15,1
405,23,1
406,16,1
407,48,1
407,29,1
408,23,1
409,36,1
41,3,1
41,27,1
410,22,1
411,48,1
411,29,1
412,6,1
413,17,1
414,29,1
414,6,1
415,6,1
416,9,1
417,8,1
418,16,1
419,3,1
419,48,1
42,38,1
420,42,1
421,42,1
422,42,1
423,42,1
424,3,1
425,27,1
426,42,1
427,16,1
428,8,1
429,14,1
43,6,1
430,42,1
431,3,1
432,29,1
433,6,1
434,17,1
435,17,1
436,38,1
437,42,1
438,17,1
439,22,1
44,28,1
44,16,1
44,38,1
44,25,1
440,25,1
441,17,1
442,48,1
442,29,1
443,15,1
443,38,1
444,8,1
445,22,1
446,42,1
447,29,1
448,6,1
449,29,1
45,53,1
45,29,1
45,23,1
45,22,1
450,17,1
451,15,1
452,42,1
453,16,1
454,15,1
455,27,1
456,15,1
456,38,1
457,38,1
458,41,1
459,16,1
46,14,1
460,25,1
461,22,1
462,17,1
463,16,1
464,6,1
465,22,1
466,17,1
467,6,1
468,22,1
469,17,1
47,42,1
47,17,1
470,16,1
471,6,1
472,16,1
473,27,1
474,22,1
475,23,1
476,17,1
477,17,1
478,17,1
479,6,1
48,27,1
480,16,1
481,6,1
482,16,1
483,17,1
484,45,1
485,16,1
486,17,1
487,25,1
488,3,1
489,42,1
49,16,1
49,38,1
490,22,1
491,25,1
492,43,1
493,15,1
494,6,1
495,27,1
496,6,1
497,8,1
497,29,1
498,15,1
499,17,1
5,16,1
50,14,1
50,22,1
50,29,1
500,6,1
501,25,1
502,16,1
503,29,1
504,17,1
505,42,1
506,17,1
507,6,1
508,25,1
509,6,1
51,38,1
51,19,1
510,48,1
510,29,1
511,42,1
512,14,1
513,36,1
514,17,1
515,15,1
516,17,1
517,17,1
518,29,1
519,48,1
519,29,1
52,25,1
520,42,1
521,40,1
521,47,1
521,8,1
521,29,1
522,6,1
523,47,1
524,8,1
525,23,1
526,6,1
527,36,1
528,17,1
529,22,1
53,57,1
53,6,1
530,15,1
531,16,1
532,38,1
533,48,1
533,29,1
534,15,1
535,15,1
535,57,1
536,25,1
537,47,1
538,3,1
539,16,1
54,14,1
54,16,1
54,6,1
540,16,1
541,17,1
542,42,1
543,57,1
544,17,1
545,16,1
546,8,1
547,42,1
548,22,1
549,16,1
55,16,1
55,53,1
55,38,1
55,25,1
55,57,1
550,48,1
550,29,1
551,17,1
552,53,1
552,48,1
552,29,1
553,25,1
554,17,1
555,36,1
556,42,1
557,15,1
558,3,1
559,27,1
56,16,1
56,23,1
560,16,1
561,42,1
562,17,1
563,25,1
564,6,1
565,6,1
566,25,1
566,17,1
567,25,1
568,16,1
569,6,1
57,42,1
570,29,1
571,16,1
572,16,1
573,15,1
573,38,1
574,48,1
574,29,1
575,17,1
576,22,1
577,29,1
578,29,1
579,22,1
58,17,1
580,22,1
581,42,1
582,48,1
582,29,1
583,29,1
584,39,1
585,53,1
586,29,1
587,16,1
588,25,1
589,17,1
59,3,1
590,6,1
591,42,1
591,53,1
592,42,1
593,43,1
593,29,1
594,16,1
595,6,1
596,42,1
597,23,1
598,48,1
598,29,1
599,17,1
6,16,1
60,22,1
60,48,1
60,29,1
60,6,1
600,38,1
601,23,1
602,6,1
603,25,1
604,22,1
604,16,1
605,22,1
605,3,1
606,16,1
607,25,1
608,6,1
609,15,1
609,17,1
61,14,1
61,17,1
61,48,1
61,29,1
61,57,1
610,29,1
611,48,1
611,29,1
612,22,1
613,22,1
613,48,1
613,29,1
614,38,1
615,16,1
616,29,1
617,16,1
617,27,1
618,3,1
619,36,1
62,14,1
62,15,1
62,22,1
62,16,1
62,43,1
62,29,1
62,25,1
62,19,1
62,17,1
62,57,1
62,6,1
620,16,1
621,16,1
622,1,1
623,16,1
624,16,1
624,48,1
624,29,1
625,45,1
626,29,1
627,16,1
628,54,1
629,16,1
63,22,1
630,16,1
631,42,1
632,27,1
633,25,1
634,47,1
635,16,1
636,48,1
636,29,1
637,25,1
638,22,1
639,22,1
64,25,1
640,17,1
641,17,1
642,17,1
643,16,1
644,25,1
645,25,1
646,23,1
647,16,1
648,27,1
649,25,1
65,17,1
650,15,1
651,22,1
652,6,1
653,29,1
654,6,1
655,15,1
655,41,1
656,29,1
657,41,1
658,22,1
659,29,1
66,8,1
660,23,1
661,17,1
662,42,1
663,29,1
664,42,1
665,15,1
666,16,1
667,23,1
668,42,1
669,23,1
67,14,1
670,25,1
671,29,1
672,3,1
673,16,1
674,47,1
675,17,1
676,15,1
676,17,1
677,48,1
677,29,1
678,47,1
678,42,1
678,8,1
678,43,1
679,15,1
68,16,1
680,23,1
681,48,1
681,29,1
682,25,1
683,17,1
684,39,1
685,48,1
685,29,1
686,25,1
687,16,1
688,48,1
688,29,1
689,16,1
69,23,1
690,29,1
691,5,1
692,48,1
692,29,1
693,22,1
693,29,1
693,23,1
694,41,1
695,6,1
696,29,1
697,48,1
697,29,1
698,6,1
699,15,1
7,53,1
7,23,1
70,16,1
700,16,1
701,25,1
702,27,1
703,42,1
704,29,1
705,16,1
706,48,1
