x,y,index
183,3,1
184,3,1
185,3,1
186,3,1
187,3,1
188,3,1
189,3,1
190,3,1
191,3,1
192,3,1
192,43,1
192,8,1
193,3,1
194,3,1
195,3,1
196,3,1
197,3,1
197,44,1
198,37,1
199,37,1
200,37,1
201,37,1
201,44,1
202,37,1
203,37,1
204,37,1
205,37,1
206,60,1
206,8,1
207,60,1
208,60,1
209,60,1
210,60,1
211,60,1
212,17,1
212,18,1
213,17,1
214,17,1
215,17,1
215,44,1
216,17,1
217,19,1
218,19,1
219,19,1
220,19,1
221,19,1
222,43,1
223,43,1
224,43,1
225,43,1
226,43,1
227,43,1
228,5,1
228,8,1
229,5,1
230,57,1
231,57,1
232,57,1
233,57,1
234,57,1
235,57,1
236,59,1
237,59,1
238,59,1
239,59,1
240,59,1
241,59,1
242,41,1
243,41,1
244,41,1
245,18,1
246,55,1
247,39,1
248,39,1
249,39,1
250,39,1
251,39,1
251,44,1
252,39,1
253,39,1
254,39,1
255,39,1
256,56,1
257,56,1
258,6,1
259,6,1
260,6,1
261,6,1
262,6,1
263,6,1
264,6,1
265,6,1
266,6,1
267,28,1
268,28,1
269,28,1
270,4,1
270,2,1
270,26,1
271,33,1
272,33,1
273,33,1
274,33,1
274,2,1
275,32,1
276,32,1
277,32,1
278,21,1
279,21,1
280,21,1
280,48,1
281,21,1
282,21,1
283,21,1
284,21,1
285,21,1
286,11,1
287,11,1
287,44,1
288,47,1
289,47,1
290,47,1
291,47,1
292,47,1
292,44,1
293,47,1
294,47,1
295,47,1
296,47,1
297,47,1
298,47,1
299,47,1
300,47,1
301,47,1
302,47,1
303,47,1
304,47,1
305,47,1
306,47,1
307,47,1
308,47,1
309,47,1
310,47,1
311,47,1
312,47,1
313,47,1
314,47,1
315,47,1
316,47,1
317,47,1
317,44,1
318,47,1
319,47,1
320,47,1
321,47,1
322,48,1
323,48,1
324,48,1
325,48,1
326,48,1
327,48,1
328,48,1
329,48,1
330,48,1
331,48,1
332,2,1
333,26,1
334,26,1
335,26,1
336,26,1
337,26,1
338,26,1
339,26,1
340,26,1
341,26,1
342,26,1
343,26,1
344,26,1
345,26,1
346,26,1
347,26,1
348,26,1
349,8,1
350,8,1
351,8,1
352,8,1
353,8,1
354,8,1
355,8,1
356,8,1
357,8,1
358,8,1
359,8,1
360,8,1
361,8,1
362,8,1
363,8,1
364,8,1
365,8,1
366,8,1
367,8,1
368,8,1
369,8,1
370,8,1
371,8,1
372,8,1
373,8,1
374,8,1
375,8,1
376,8,1
377,8,1
378,8,1
379,8,1
380,8,1
381,8,1
382,8,1
383,8,1
384,8,1
385,8,1
386,8,1
387,8,1
388,8,1
389,8,1
390,8,1
391,8,1
392,8,1
393,8,1
394,8,1
395,8,1
396,8,1
397,8,1
398,8,1
399,8,1
400,8,1
401,8,1
402,8,1
402,44,1
403,8,1
404,8,1
405,8,1
406,44,1
407,44,1
408,44,1
409,44,1
410,44,1
411,44,1
412,44,1
413,44,1
414,44,1
415,44,1
416,44,1
417,44,1
418,44,1
419,44,1
420,44,1
421,44,1
422,44,1
423,44,1
424,44,1
425,44,1
426,44,1
427,44,1
428,44,1
429,44,1
430,44,1
431,44,1
432,44,1
433,44,1
434,44,1
435,44,1
436,44,1
437,44,1
438,44,1
439,44,1
440,44,1
441,44,1
442,44,1
443,44,1
444,44,1
445,44,1
446,44,1
447,44,1
448,44,1
449,44,1
450,44,1
451,44,1
452,44,1
453,44,1
454,44,1
455,44,1
456,44,1
457,44,1
458,44,1
459,44,1
460,44,1
461,44,1
462,44,1
463,44,1
464,44,1
465,44,1
466,44,1
467,44,1
468,44,1
469,44,1
470,44,1
471,44,1
472,44,1
473,44,1
