x,y,index
214,358,1
84,358,1
96,358,1
170,358,1
317,358,1
316,358,1
229,358,1
99,438,1
52,438,1
90,438,1
333,438,1
251,438,1
402,304,1
363,304,1
297,304,1
137,304,1
99,320,1
348,320,1
297,320,1
68,320,1
387,320,1
74,320,1
406,289,1
45,289,1
432,289,1
419,92,1
169,92,1
196,92,1
68,92,1
215,92,1
428,92,1
84,128,1
407,128,1
92,107,1
189,107,1
178,107,1
68,107,1
263,107,1
223,107,1
374,107,1
470,389,1
92,389,1
297,389,1
371,389,1
142,389,1
348,325,1
68,325,1
387,325,1
74,325,1
297,325,1
99,325,1
297,317,1
348,317,1
99,317,1
68,317,1
387,317,1
74,317,1
125,400,1
297,400,1
355,400,1
56,400,1
223,400,1
322,179,1
144,179,1
211,260,1
121,260,1
131,343,1
68,343,1
317,343,1
316,343,1
318,343,1
68,161,1
33,161,1
169,161,1
355,161,1
84,81,1
142,81,1
432,81,1
427,81,1
297,347,1
135,347,1
136,347,1
402,237,1
52,237,1
68,237,1
45,444,1
52,444,1
363,444,1
302,444,1
6,444,1
380,444,1
290,444,1
466,280,1
350,280,1
52,280,1
169,280,1
297,322,1
68,322,1
387,322,1
74,322,1
99,322,1
348,322,1
296,491,1
318,491,1
402,491,1
64,491,1
29,474,1
395,474,1
302,474,1
6,474,1
92,474,1
243,474,1
352,474,1
64,474,1
365,474,1
383,474,1
257,474,1
317,474,1
316,474,1
121,474,1
4,474,1
466,474,1
286,474,1
318,302,1
407,302,1
215,302,1
428,302,1
296,302,1
77,302,1
419,463,1
243,463,1
352,463,1
374,463,1
29,463,1
122,463,1
402,463,1
135,463,1
136,463,1
387,463,1
74,463,1
348,189,1
374,189,1
35,189,1
96,221,1
243,221,1
352,221,1
431,221,1
29,221,1
317,221,1
316,221,1
35,221,1
427,221,1
408,221,1
162,221,1
387,221,1
74,221,1
286,397,1
438,397,1
355,397,1
125,16,1
170,16,1
302,16,1
6,16,1
189,16,1
178,16,1
231,406,1
387,406,1
74,406,1
350,406,1
35,406,1
142,406,1
380,406,1
290,406,1
60,362,1
68,362,1
407,362,1
317,362,1
316,362,1
52,362,1
398,242,1
139,242,1
294,242,1
371,242,1
131,274,1
85,274,1
318,274,1
68,274,1
317,274,1
316,274,1
90,121,1
77,252,1
169,252,1
371,252,1
470,252,1
35,252,1
215,252,1
428,252,1
210,252,1
371,176,1
