miRNA(632),index
hsa-mir-875-5p,544
hsa-mir-876-5p,545
hsa-mir-9,546
hsa-mir-9*,547
hsa-mir-9-1,548
hsa-mir-92,549
hsa-mir-9-2,550
hsa-mir-92-1,551
hsa-mir-92-2,552
hsa-mir-92a,553
hsa-mir-92a-3p,554
hsa-mir-92b,555
hsa-mir-92b-3p,556
hsa-mir-93,557
hsa-mir-9-3,558
hsa-mir-93-5p,559
hsa-mir-95,560
hsa-mir-9-5p,561
hsa-mir-96,562
hsa-mir-96-5p,563
hsa-mir-98,564
hsa-mir-98-5p,565
hsa-mir-99a,566
hsa-mir-99b,567
hsa-mir-1193,568
hsa-mir-1197,569
hsa-mir-1202,570
hsa-mir-1226,571
hsa-mir-1228,572
hsa-mir-1247,573
hsa-mir-1249,574
hsa-mir-1260a,575
hsa-mir-1260b,576
hsa-mir-128-1,577
hsa-mir-1296,578
hsa-mir-1301,579
hsa-mir-1306,580
hsa-mir-1307,581
hsa-mir-142,582
hsa-mir-144,583
hsa-mir-151a,584
hsa-mir-17hg,585
hsa-mir-1908,586
hsa-mir-203a,587
hsa-mir-2116,588
hsa-mir-218-1,589
hsa-mir-299,590
hsa-mir-302b,591
hsa-mir-3173,592
hsa-mir-323a,593
hsa-mir-323b,594
hsa-mir-329-1,595
hsa-mir-337,596
hsa-mir-33b,597
hsa-mir-369,598
hsa-mir-375,599
hsa-mir-376a-1,600
hsa-mir-376a-2,601
hsa-mir-376b,602
hsa-mir-376c,603
hsa-mir-380,604
hsa-mir-409,605
hsa-mir-410,606
hsa-mir-411,607
hsa-mir-412,608
hsa-mir-431,609
hsa-mir-4482,610
hsa-mir-4516,611
hsa-mir-483,612
hsa-mir-485,613
hsa-mir-487a,614
hsa-mir-493,615
hsa-mir-501,616
hsa-mir-532,617
hsa-mir-539,618
hsa-mir-628,619
hsa-mir-655,620
hsa-mir-656,621
hsa-mir-6741,622
hsa-mir-6803,623
hsa-mir-744,624
hsa-mir-758,625
hsa-mir-770,626
hsa-mir-7704,627
hsa-mir-8061,628
hsa-mir-885,629
hsa-mir-889,630
hsa-mir-939,631
