circRNA(474),index
hsa_circ_0001546,431
hsa_circ_0008832,432
hsa_circ_0007707,433
hsa_circ_0001897,434
hsa_circ_0007099,435
hsa_circ_0006470,436
hsa_circ_0050547,437
hsa_circ_0005556,438
hsa_circ_0084606,439
hsa_circ_0011107,440
hsa_circ_0006282,441
hsa_circ_0074362,442
hsa_circ_0063809,443
hsa_circ_0003789,444
hsa_circ_0035445,445
hsa_circ_0076305,446
hsa_circ_0035431,447
hsa_circ_0076304,448
hsa_circ_0005529,449
hsa_circ_0032821,450
hsa_circ_0061274,451
hsa_circ_0000144,452
hsa_circ_0092341,453
hsa_circ_0005927,454
hsa_circ_0006127,455
hsa_circ_0085616,456
hsa_circ_0061276,457
hsa_circ_0001017,458
hsa_circ_0058766,459
hsa_circ_0063561,460
hsa_circ_0054971,461
hsa_circ_0057104,462
hsa_circ_0060108,463
hsa_circ_0084720,464
hsa_circ_0081146,465
hsa_circ_0000627,466
hsa_circ_0092330,467
hsa_circ_0001539,468
hsa_circ_0000291,469
hsa_circ_0092283,470
hsa_circ_0008383,471
hsa_circ_0013048,472
hsa_circ_0003222,473
